Nome: ARIRANHA
Codigo Estacao: A736
Latitude: -21.13305554
Longitude: -48.84055555
Altitude: 525.44
Situacao: Operante
Data Inicial: 2020-11-06
Data Final: 2020-11-07
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2020-11-06;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;0300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;0400;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;0500;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;0600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;0700;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;0800;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;0900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;1000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;1100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;1200;null;954,6;1013,872355;954,6;954,2;2128,058;23;25,5;8,4;25,8;23;9,9;8,3;14,5;43;33;34;46;7,8;4;
2020-11-06;1300;null;954,5;1013,319669;954,6;954,5;2840,739;26;27,7;7,7;28;25,4;9,6;7,7;14,5;35;28;28;55;8,4;4,2;
2020-11-06;1400;null;954,1;1012,674387;954,5;954,1;3405,787;28;28,8;7,8;29,7;27,5;9,1;7,2;14,4;30;26;27;303;6,8;1,9;
2020-11-06;1500;null;953,6;1011,687913;954,2;953,6;4227,632;30;31,1;8,4;31,6;28,8;9,7;6,9;14,4;29;23;24;115;6,3;2,4;
2020-11-06;1600;null;952,8;1010,604386;953,6;952,7;4398,649;32;32,3;8,1;32,4;30,6;9,5;6,1;14,4;26;20;22;204;6,7;3,4;
2020-11-06;1700;null;952;1009,736388;952,8;952;3950,743;33;32,4;6,6;33,1;31,5;8,6;5,9;14,4;23;19;20;177;9,3;4,8;
2020-11-06;1800;null;951,3;1008,858151;952;951,3;3433,589;34;33,1;7,5;33,3;32,1;8,6;5,6;14,4;23;18;21;168;8,9;3,9;
2020-11-06;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-06;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0400;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0500;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0600;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0700;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0800;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;0900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;1000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;1100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;1200;null;957,2;1016,531438;957,2;956,8;2061,278;23;26;12,6;26;22,1;13,4;12,2;14,5;56;43;43;101;4,7;2;
2020-11-07;1300;null;957;1015,592516;957,4;957;2760,816;26;29,6;12,1;29,6;25,7;13,2;10,7;14,4;44;32;34;83;5,1;2,4;
2020-11-07;1400;null;956,6;1014,772202;957,1;956,6;3320,804;30;31,6;8,9;32,1;29,4;12,6;8,6;14,4;35;24;25;359;6,7;1,4;
2020-11-07;1500;null;956,1;1013,929131;956,6;956,1;3611,084;32;33,2;7,6;33,5;31,5;10,7;7,6;14,3;26;21;21;58;6;1,6;
2020-11-07;1600;null;955,2;1012,742612;956,1;955,2;3737,488;34;34,4;7,3;34,5;33;9,7;6,3;14,3;24;18;19;279;4,7;2,6;
2020-11-07;1700;null;954,4;1011,721721;955,2;954,4;3630,333;35;35,3;6,8;36,1;34,4;8,9;5;14,3;20;16;17;163;9,4;5,1;
2020-11-07;1800;null;953,6;1010,854564;954,4;953,6;3204,728;36;35,4;6,8;36,1;34,8;8,9;5,9;14,3;20;16;17;174;9,4;3,2;
2020-11-07;1900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;2000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;2200;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2020-11-07;2300;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

